,winner,loser,event
0,Cub Swanson,Artem Lobov,UFC_Fight_Night_Swanson_vs_Lobov
1,Al Iaquinta,Diego Sanchez,UFC_Fight_Night_Swanson_vs_Lobov
2,Ovince Saint Preux,Marcos Rog\xc3\xa9rio de Lima,UFC_Fight_Night_Swanson_vs_Lobov
3,John Dodson,Eddie Wineland,UFC_Fight_Night_Swanson_vs_Lobov
4,Stevie Ray,Joe Lauzon,UFC_Fight_Night_Swanson_vs_Lobov
5,Mike Perry,Jake Ellenberger,UFC_Fight_Night_Swanson_vs_Lobov
6,Thales Leites,Sam Alvey,UFC_Fight_Night_Swanson_vs_Lobov
7,Brandon Moreno,Dustin Ortiz,UFC_Fight_Night_Swanson_vs_Lobov
8,Scott Holtzman,Michael McBride,UFC_Fight_Night_Swanson_vs_Lobov
9,Danielle Taylor,Jessica Penne,UFC_Fight_Night_Swanson_vs_Lobov
10,Alexis Davis,Cindy Dandois,UFC_Fight_Night_Swanson_vs_Lobov
11,Bryan Barberena,Joe Proctor,UFC_Fight_Night_Swanson_vs_Lobov
12,Hector Sandoval,Matt Schnell,UFC_Fight_Night_Swanson_vs_Lobov
