,winner,loser,weight_class,event
0,Glover Teixeira,Ryan Bader,Light Heavyweight,UFC_Fight_Night_Teixeira_vs_Bader
1,Ronaldo Souza,Yushin Okami,Middleweight,UFC_Fight_Night_Teixeira_vs_Bader
2,Joseph Benavidez,Jussier Formiga,Flyweight,UFC_Fight_Night_Teixeira_vs_Bader
3,Piotr Hallmann,Francisco Trinaldo,Lightweight,UFC_Fight_Night_Teixeira_vs_Bader
4,Rafael Natal,Tor Tro\xc3\xa9ng,Middleweight,UFC_Fight_Night_Teixeira_vs_Bader
5,Ali Bagautinov,Marcos Vinicius,Flyweight,UFC_Fight_Night_Teixeira_vs_Bader
6,Kevin Souza,Felipe Arantes,Featherweight,UFC_Fight_Night_Teixeira_vs_Bader
7,Lucas Martins,Junior Hernandez,Bantamweight,UFC_Fight_Night_Teixeira_vs_Bader
8,Elias Silv\xc3\xa9rio,Jo\xc3\xa3o Zeferino,Welterweight,UFC_Fight_Night_Teixeira_vs_Bader
9,Ivan Jorge,Keith Wisniewski,Welterweight,UFC_Fight_Night_Teixeira_vs_Bader
10,Sean Spencer,Yuri Villefort,Welterweight,UFC_Fight_Night_Teixeira_vs_Bader
