,winner,loser,weight_class,event
0,Glover Teixeira,Ovince Saint Preux,Light Heavyweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
1,Beneil Dariush,Michael Johnson,Lightweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
2,Derek Brunson,Sam Alvey,Middleweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
3,Jared Rosholt,Timothy Johnson,Heavyweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
4,Amanda Nunes,Sara McMann,Women\'s Bantamweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
5,Ray Borg,Geane Herrera,Catchweight (126.75 lbs),UFC_Fight_Night_Teixeira_vs_Saint_Preux
6,Uriah Hall,Oluwale Bamgbose,Middleweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
7,Chris Camozzi,Tom Watson,Middleweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
8,Dustin Ortiz,Willie Gates,Flyweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
9,Frankie Saenz,Sirwan Kakai,Bantamweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
10,Jonathan Wilson,Chris Dempsey,Light Heavyweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
11,Marlon Vera,Roman Salazar,Bantamweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
12,Scott Holtzman,Anthony Christodoulou,Lightweight,UFC_Fight_Night_Teixeira_vs_Saint_Preux
