,winner,loser,weight_class,event
0,Yair Rodr\xc3\xadguez,Chan Sung Jung,Featherweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
1,Donald Cerrone,Mike Perry,Welterweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
2,Germaine de Randamie,Raquel Pennington,Catchweight (138 lbs),UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
3,Beneil Dariush,Thiago Mois\xc3\xa9s,Lightweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
4,Maycee Barber,Hannah Cifers,Women\'s Strawweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
5,Michael Trizano,Luis Pe\xc3\xb1a,Lightweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
6,Ashley Yoder,Amanda Cooper,Women\'s Strawweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
7,Bobby Moffett,Chas Skelly,Featherweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
8,Davi Ramos,John Gunther,Lightweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
9,Devonte Smith,Julian Erosa,Lightweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
10,Eric Shelton,Joseph Morales,Flyweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
11,Mark De La Rosa,Joby Sanchez,Bantamweight,UFC_Fight_Night_The_Korean_Zombie_vs_Rodríguez
