,winner,loser,weight_class,event
0,Jorge Masvidal,Darren Till,Welterweight,UFC_Fight_Night_Till_vs_Masvidal
1,Leon Edwards,Gunnar Nelson,Welterweight,UFC_Fight_Night_Till_vs_Masvidal
2,Dominick Reyes,Volkan Oezdemir,Light Heavyweight,UFC_Fight_Night_Till_vs_Masvidal
3,Nathaniel Wood,Jos\xc3\xa9 Qui\xc3\xb1\xc3\xb3nez,Bantamweight,UFC_Fight_Night_Till_vs_Masvidal
4,Cl\xc3\xa1udio Silva,Danny Roberts,Welterweight,UFC_Fight_Night_Till_vs_Masvidal
5,Jack Marshman,John Phillips,Catchweight (188 lbs),UFC_Fight_Night_Till_vs_Masvidal
6,Arnold Allen,Jordan Rinaldi,Featherweight,UFC_Fight_Night_Till_vs_Masvidal
7,Marc Diakiese,Joseph Duffy,Lightweight,UFC_Fight_Night_Till_vs_Masvidal
8,Saparbek Safarov,Nicolae Negumereanu,Light Heavyweight,UFC_Fight_Night_Till_vs_Masvidal
9,Dan Ige,Danny Henry,Featherweight,UFC_Fight_Night_Till_vs_Masvidal
10,Molly McCann,Priscila Cachoeira,Women\'s Flyweight,UFC_Fight_Night_Till_vs_Masvidal
11,Mike Grundy,Nad Narimani,Featherweight,UFC_Fight_Night_Till_vs_Masvidal
