,winner,loser,weight_class,event
0,Fabr\xc3\xadcio Werdum,Marcin Tybura,Heavyweight,UFC_Fight_Night_Werdum_vs_Tybura
1,Jessica-Rose Clark,Bec Rawlings,Catchweight (128 lbs),UFC_Fight_Night_Werdum_vs_Tybura
2,Belal Muhammad,Tim Means,Welterweight,UFC_Fight_Night_Werdum_vs_Tybura
3,Jake Matthews,Bojan Veli\xc4\x8dkovi\xc4\x87,Welterweight,UFC_Fight_Night_Werdum_vs_Tybura
4,Elias Theodorou,Dan Kelly,Middleweight,UFC_Fight_Night_Werdum_vs_Tybura
5,Alexander Volkanovski,Shane Young,Catchweight (150 lbs),UFC_Fight_Night_Werdum_vs_Tybura
6,Ryan Benoit,Ashkan Mokhtarian,Catchweight (129 lbs),UFC_Fight_Night_Werdum_vs_Tybura
7,Nik Lentz,Will Brooks,Lightweight,UFC_Fight_Night_Werdum_vs_Tybura
8,Tai Tuivasa,Rashad Coulter,Heavyweight,UFC_Fight_Night_Werdum_vs_Tybura
9,Frank Camacho,Damien Brown,Catchweight (160 lbs),UFC_Fight_Night_Werdum_vs_Tybura
10,Nadia Kassem,Alex Chambers,Catchweight (120 lbs),UFC_Fight_Night_Werdum_vs_Tybura
11,Eric Shelton,Jenel Lausa,Flyweight,UFC_Fight_Night_Werdum_vs_Tybura
12,Adam Wieczorek,Anthony Hamilton,Heavyweight,UFC_Fight_Night_Werdum_vs_Tybura
