,winner,loser,event
0,Alexander Volkov,Fabr\xc3\xadcio Werdum,UFC_Fight_Night_Werdum_vs_Volkov
1,Jan B\xc5\x82achowicz,Jimi Manuwa,UFC_Fight_Night_Werdum_vs_Volkov
2,Tom Duquesnoy,Terrion Ware,UFC_Fight_Night_Werdum_vs_Volkov
3,Leon Edwards,Peter Sobotta,UFC_Fight_Night_Werdum_vs_Volkov
4,Charles Byrd,John Phillips,UFC_Fight_Night_Werdum_vs_Volkov
5,Danny Roberts,Oliver Enkamp,UFC_Fight_Night_Werdum_vs_Volkov
6,Danny Henry,Hakeem Dawodu,UFC_Fight_Night_Werdum_vs_Volkov
7,Paul Craig,Magomed Ankalaev,UFC_Fight_Night_Werdum_vs_Volkov
8,Kajan Johnson,Stevie Ray,UFC_Fight_Night_Werdum_vs_Volkov
9,Dmitriy Sosnovskiy,Mark Godbeer,UFC_Fight_Night_Werdum_vs_Volkov
