,winner,loser,event
0,Germaine de Randamie,Aspen Ladd,UFC_Fight_Night_de_Randamie_vs_Ladd
1,Urijah Faber,Ricky Simon,UFC_Fight_Night_de_Randamie_vs_Ladd
2,Josh Emmett,Mirsad Bekti\xc4\x87,UFC_Fight_Night_de_Randamie_vs_Ladd
3,Karl Roberson,Wellington Turman,UFC_Fight_Night_de_Randamie_vs_Ladd
4,Marvin Vettori,Cezar Ferreira,UFC_Fight_Night_de_Randamie_vs_Ladd
5,John Allan Arte,Mike Rodr\xc3\xadguez,UFC_Fight_Night_de_Randamie_vs_Ladd
6,Andre Fili,Sheymon Moraes,UFC_Fight_Night_de_Randamie_vs_Ladd
7,Julianna Pe\xc3\xb1a,Nicco Monta\xc3\xb1o,UFC_Fight_Night_de_Randamie_vs_Ladd
8,Ryan Hall,Darren Elkins,UFC_Fight_Night_de_Randamie_vs_Ladd
9,Jonathan Martinez,Pingyuan Liu,UFC_Fight_Night_de_Randamie_vs_Ladd
10,Brianna Van Buren,L\xc3\xadvia Renata Souza,UFC_Fight_Night_de_Randamie_vs_Ladd
11,Benito Lopez,Vince Morales,UFC_Fight_Night_de_Randamie_vs_Ladd
