,winner,loser,weight_class,event
0,Eddie Alvarez,Rafael dos Anjos (c),Lightweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
1,Derrick Lewis,Roy Nelson,Heavyweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
2,Alan Jouban,Belal Muhammad,Welterweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
3,Joseph Duffy,Mitch Clarke,Lightweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
4,Alberto Mina,Mike Pyle,Welterweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
5,John Makdessi,Mehdi Baghdad,Lightweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
6,Anthony Birchak,Dileno Lopes,Bantamweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
7,Pedro Munhoz,Russell Doane,Bantamweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
8,Felipe Arantes,Jerrod Sanders,Bantamweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
9,Gilbert Burns,\xc5\x81ukasz Sajewski,Lightweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
10,Marco Beltr\xc3\xa1n,Reginaldo Vieira,Bantamweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
11,Vicente Luque,\xc3\x81lvaro Herrera,Welterweight,UFC_Fight_Night_dos_Anjos_vs_Alvarez
