,winner,loser,weight_class,event
0,Rafael dos Anjos,Kevin Lee,Welterweight,UFC_Fight_Night_dos_Anjos_vs_Lee
1,Ian Heinisch,Ant\xc3\xb4nio Carlos J\xc3\xbanior,Middleweight,UFC_Fight_Night_dos_Anjos_vs_Lee
2,Felicia Spencer,Megan Anderson,Women\'s Featherweight,UFC_Fight_Night_dos_Anjos_vs_Lee
3,Vicente Luque,Derrick Krantz,Welterweight,UFC_Fight_Night_dos_Anjos_vs_Lee
4,Charles Oliveira,Nik Lentz,Lightweight,UFC_Fight_Night_dos_Anjos_vs_Lee
5,Davi Ramos,Austin Hubbard,Lightweight,UFC_Fight_Night_dos_Anjos_vs_Lee
6,Aspen Ladd,Sijara Eubanks,Women\'s Bantamweight,UFC_Fight_Night_dos_Anjos_vs_Lee
7,Desmond Green,Charles Jourdain,Lightweight,UFC_Fight_Night_dos_Anjos_vs_Lee
8,Michel Pereira,Danny Roberts,Welterweight,UFC_Fight_Night_dos_Anjos_vs_Lee
9,Grant Dawson,Michael Trizano,Featherweight,UFC_Fight_Night_dos_Anjos_vs_Lee
10,Ed Herman,Patrick Cummins,Light Heavyweight,UFC_Fight_Night_dos_Anjos_vs_Lee
11,Zak Cummings,Trevin Giles,Middleweight,UFC_Fight_Night_dos_Anjos_vs_Lee
12,Julio Arce,Julian Erosa,Featherweight,UFC_Fight_Night_dos_Anjos_vs_Lee
