,winner,loser,weight_class,event
0,Junior dos Santos,Tai Tuivasa,Heavyweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
1,Maur\xc3\xadcio Rua,Tyson Pedro,Light Heavyweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
2,Justin Willis,Mark Hunt,Heavyweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
3,Anthony Rocco Martin,Jake Matthews,Welterweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
4,Sodiq Yusuff,Suman Mokhtarian,Featherweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
5,Jimmy Crute,Paul Craig,Light Heavyweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
6,Alexey Kunchenko,Yushin Okami,Welterweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
7,Wilson Reis,Ben Nguyen,Flyweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
8,Keita Nakamura,Salim Touahri,Welterweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
9,Kai Kara-France,Elias Garcia,Flyweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
10,Christos Giagos,Mizuto Hirota,Lightweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
11,Damir Ismagulov,Alex Gorgees,Lightweight,UFC_Fight_Night_dos_Santos_vs_Tuivasa
