,winner,loser,event
0,Josh Koscheck,Yoshiyuki Yoshida,UFC_Fight_for_the_Troops
1,Mike Swick,Jonathan Goulet,UFC_Fight_for_the_Troops
2,Steve Cantwell,Razak Al-Hassan,UFC_Fight_for_the_Troops
3,Tim Credeur,Nate Loughran,UFC_Fight_for_the_Troops
4,Jim Miller,Matt Wiman,UFC_Fight_for_the_Troops
5,Luigi Fioravanti,Brodie Farber,UFC_Fight_for_the_Troops
6,Steve Bruno,Johnny Rees,UFC_Fight_for_the_Troops
7,Ben Saunders,Brandon Wolff,UFC_Fight_for_the_Troops
8,Dale Hartt,Corey Hill,UFC_Fight_for_the_Troops
9,Justin McCully,Eddie Sanchez,UFC_Fight_for_the_Troops
