,winner,loser,weight_class,event
0,Melvin Guillard,Evan Dunham,Lightweight,UFC_Fight_for_the_Troops_2
1,Matt Mitrione,Tim Hague,Heavyweight,UFC_Fight_for_the_Troops_2
2,Mark Hominick,George Roop,Featherweight,UFC_Fight_for_the_Troops_2
3,Pat Barry,Joey Beltran,Heavyweight,UFC_Fight_for_the_Troops_2
4,Matt Wiman,Cole Miller,Lightweight,UFC_Fight_for_the_Troops_2
5,Yves Edwards,Cody McKenzie,Lightweight,UFC_Fight_for_the_Troops_2
6,DaMarques Johnson,Mike Guymon,Welterweight,UFC_Fight_for_the_Troops_2
7,Rani Yahya,Mike Brown,Featherweight,UFC_Fight_for_the_Troops_2
8,Waylon Lowe,Willamy Freire,Lightweight,UFC_Fight_for_the_Troops_2
9,Charlie Brenneman,Amilcar Alves,Welterweight,UFC_Fight_for_the_Troops_2
10,Chris Cariaso,Will Campuzano,Bantamweight,UFC_Fight_for_the_Troops_2
