,winner,loser,event
0,Tim Kennedy,Rafael Natal,UFC_Fight_for_the_Troops_3
1,Alexis Davis,Liz Carmouche,UFC_Fight_for_the_Troops_3
2,Yoel Romero,Ronny Markes,UFC_Fight_for_the_Troops_3
3,Rustam Khabilov,Jorge Masvidal,UFC_Fight_for_the_Troops_3
4,Michael Chiesa,Colton Smith,UFC_Fight_for_the_Troops_3
5,Bobby Green,James Krause,UFC_Fight_for_the_Troops_3
6,Francisco Rivera,George Roop,UFC_Fight_for_the_Troops_3
7,Dennis Bermudez,Steven Siler,UFC_Fight_for_the_Troops_3
8,Amanda Nunes,Germaine de Randamie,UFC_Fight_for_the_Troops_3
9,Lorenz Larkin,Chris Camozzi,UFC_Fight_for_the_Troops_3
10,Yancy Medeiros,Yves Edwards,UFC_Fight_for_the_Troops_3
11,Seth Baczynski,Neil Magny,UFC_Fight_for_the_Troops_3
12,Derek Brunson,Brian Houston,UFC_Fight_for_the_Troops_3
