,winner,loser,weight_class,event
0,Dominick Cruz (c),Demetrious Johnson,Bantamweight,UFC_Live_Cruz_vs_Johnson
1,Stefan Struve,Pat Barry,Heavyweight,UFC_Live_Cruz_vs_Johnson
2,Anthony Johnson,Charlie Brenneman,Welterweight,UFC_Live_Cruz_vs_Johnson
3,Matt Wiman,Mac Danzig,Lightweight,UFC_Live_Cruz_vs_Johnson
4,Yves Edwards,Rafaello Oliveira,Lightweight,UFC_Live_Cruz_vs_Johnson
5,Paul Sass,Michael Johnson,Lightweight,UFC_Live_Cruz_vs_Johnson
6,Mike Easton,Byron Bloodworth,Catchweight (138 lb),UFC_Live_Cruz_vs_Johnson
7,TJ Grant,Shane Roller,Lightweight,UFC_Live_Cruz_vs_Johnson
8,Josh Neer,Keith Wisniewski,Welterweight,UFC_Live_Cruz_vs_Johnson
9,Walel Watson,Joseph Sandoval,Bantamweight,UFC_Live_Cruz_vs_Johnson
