,winner,loser,event
0,Jon Jones,Brandon Vera,UFC_Live_Vera_vs_Jones
1,Junior dos Santos,Gabriel Gonzaga,UFC_Live_Vera_vs_Jones
2,Cheick Kongo,Paul Buentello,UFC_Live_Vera_vs_Jones
3,Alessio Sakara,James Irvin,UFC_Live_Vera_vs_Jones
4,Clay Guida,Shannon Gugerty,UFC_Live_Vera_vs_Jones
5,Vladimir Matyushenko,Eliot Marshall,UFC_Live_Vera_vs_Jones
6,Darren Elkins,Duane Ludwig,UFC_Live_Vera_vs_Jones
7,John Howard,Daniel Roberts,UFC_Live_Vera_vs_Jones
8,Brendan Schaub,Chase Gormley,UFC_Live_Vera_vs_Jones
9,Mike Pierce,Julio Paulino,UFC_Live_Vera_vs_Jones
10,Jason Brilz,Eric Schafer,UFC_Live_Vera_vs_Jones
