,winner,loser,event
0,Jairzinho Rozenstruik,Alistair Overeem,UFC_on_ESPN_Overeem_vs_Rozenstruik
1,Marina Rodriguez,Cynthia Calvillo,UFC_on_ESPN_Overeem_vs_Rozenstruik
2,Ben Rothwell,Stefan Struve,UFC_on_ESPN_Overeem_vs_Rozenstruik
3,Aspen Ladd,Yana Kunitskaya,UFC_on_ESPN_Overeem_vs_Rozenstruik
4,Cody Stamann,Song Yadong,UFC_on_ESPN_Overeem_vs_Rozenstruik
5,Rob Font,Ricky Simon,UFC_on_ESPN_Overeem_vs_Rozenstruik
6,Tim Means,Thiago Alves,UFC_on_ESPN_Overeem_vs_Rozenstruik
7,Billy Quarantillo,Jacob Kilburn,UFC_on_ESPN_Overeem_vs_Rozenstruik
8,Bryce Mitchell,Matt Sayles,UFC_on_ESPN_Overeem_vs_Rozenstruik
9,Joe Solecki,Matt Wiman,UFC_on_ESPN_Overeem_vs_Rozenstruik
10,Virna Jandiroba,Mallory Martin,UFC_on_ESPN_Overeem_vs_Rozenstruik
11,Makhmud Muradov,Trevor Smith,UFC_on_ESPN_Overeem_vs_Rozenstruik
