,winner,loser,weight_class,event
0,Dominick Reyes,Chris Weidman,Light Heavyweight,UFC_on_ESPN_Reyes_vs_Weidman
1,Yair Rodr\xc3\xadguez,Jeremy Stephens,Featherweight,UFC_on_ESPN_Reyes_vs_Weidman
2,Greg Hardy,Ben Sosoli,Heavyweight,UFC_on_ESPN_Reyes_vs_Weidman
3,Joe Lauzon,Jonathan Pearce,Lightweight,UFC_on_ESPN_Reyes_vs_Weidman
4,Maycee Barber,Gillian Robertson,Women\'s Flyweight,UFC_on_ESPN_Reyes_vs_Weidman
5,Darren Stewart,Deron Winn,Catchweight (188.5 lbs),UFC_on_ESPN_Reyes_vs_Weidman
6,Charles Rosa,Manny Bermudez,Catchweight (148 lbs),UFC_on_ESPN_Reyes_vs_Weidman
7,Molly McCann,Diana Belbi\xc5\xa3\xc4\x83,Women\'s Flyweight,UFC_on_ESPN_Reyes_vs_Weidman
8,Sean Woodson,Kyle Bochniak,Featherweight,UFC_on_ESPN_Reyes_vs_Weidman
9,Randy Costa,Boston Salmon,Bantamweight,UFC_on_ESPN_Reyes_vs_Weidman
10,Sean Brady,Court McGee,Welterweight,UFC_on_ESPN_Reyes_vs_Weidman
11,Brendan Allen,Kevin Holland,Middleweight,UFC_on_ESPN_Reyes_vs_Weidman
12,Tanner Boser,Daniel Spitz,Heavyweight,UFC_on_ESPN_Reyes_vs_Weidman
