,winner,loser,weight_class,event
0,Jim Miller,Melvin Guillard,Lightweight,UFC_on_FX_Guillard_vs_Miller
1,Josh Neer,Duane Ludwig,Welterweight,UFC_on_FX_Guillard_vs_Miller
2,Mike Easton,Jared Papazian,Bantamweight,UFC_on_FX_Guillard_vs_Miller
3,Pat Barry,Christian Morecraft,Heavyweight,UFC_on_FX_Guillard_vs_Miller
4,Jorge Rivera,Eric Schafer,Middleweight,UFC_on_FX_Guillard_vs_Miller
5,Khabib Nurmagomedov,Kamal Shalorus,Lightweight,UFC_on_FX_Guillard_vs_Miller
6,Charlie Brenneman,Daniel Roberts,Welterweight,UFC_on_FX_Guillard_vs_Miller
7,Fabr\xc3\xadcio Cam\xc3\xb5es,Tommy Hayden,Lightweight,UFC_on_FX_Guillard_vs_Miller
8,Daniel Pineda,Pat Schilling,Featherweight,UFC_on_FX_Guillard_vs_Miller
9,Nick Denis,Joseph Sandoval,Bantamweight,UFC_on_FX_Guillard_vs_Miller
