,winner,loser,weight_class,event
0,Dustin Poirier,Eddie Alvarez,Lightweight,UFC_on_Fox_Alvarez_vs_Poirier_2
1,Jos\xc3\xa9 Aldo,Jeremy Stephens,Featherweight,UFC_on_Fox_Alvarez_vs_Poirier_2
2,Joanna J\xc4\x99drzejczyk,Tecia Torres,Women\'s Strawweight,UFC_on_Fox_Alvarez_vs_Poirier_2
3,Alexander Hernandez,Olivier Aubin-Mercier,Lightweight,UFC_on_Fox_Alvarez_vs_Poirier_2
4,Jordan Mein,Alex Morono,Welterweight,UFC_on_Fox_Alvarez_vs_Poirier_2
5,Hakeem Dawodu,Austin Arnett,Featherweight,UFC_on_Fox_Alvarez_vs_Poirier_2
6,Islam Makhachev,Kajan Johnson,Lightweight,UFC_on_Fox_Alvarez_vs_Poirier_2
7,Ion Cu\xc8\x9belaba,Gadzhimurad Antigulov,Light Heavyweight,UFC_on_Fox_Alvarez_vs_Poirier_2
8,John Makdessi,Ross Pearson,Lightweight,UFC_on_Fox_Alvarez_vs_Poirier_2
9,Katlyn Chookagian,Alexis Davis,Women\'s Flyweight,UFC_on_Fox_Alvarez_vs_Poirier_2
10,Dustin Ortiz,Matheus Nicolau,Flyweight,UFC_on_Fox_Alvarez_vs_Poirier_2
11,Nina Ansaroff,Randa Markos,Women\'s Strawweight,UFC_on_Fox_Alvarez_vs_Poirier_2
12,Devin Powell,\xc3\x81lvaro Herrera,Lightweight,UFC_on_Fox_Alvarez_vs_Poirier_2
