,winner,loser,event
0,T.J. Dillashaw (c),Renan Bar\xc3\xa3o,UFC_on_Fox_Dillashaw_vs_Barão_2
1,Miesha Tate,Jessica Eye,UFC_on_Fox_Dillashaw_vs_Barão_2
2,Edson Barboza,Paul Felder,UFC_on_Fox_Dillashaw_vs_Barão_2
3,Joe Lauzon,Takanori Gomi,UFC_on_Fox_Dillashaw_vs_Barão_2
4,Tom Lawlor,Gian Villante,UFC_on_Fox_Dillashaw_vs_Barão_2
5,Jim Miller,Danny Castillo,UFC_on_Fox_Dillashaw_vs_Barão_2
6,Ben Saunders,Kenny Robertson,UFC_on_Fox_Dillashaw_vs_Barão_2
7,Bryan Caraway,Eddie Wineland,UFC_on_Fox_Dillashaw_vs_Barão_2
8,James Krause,Daron Cruickshank,UFC_on_Fox_Dillashaw_vs_Barão_2
9,Andrew Holbrook,Ramsey Nijem,UFC_on_Fox_Dillashaw_vs_Barão_2
10,Elizabeth Phillips,Jessamyn Duke,UFC_on_Fox_Dillashaw_vs_Barão_2
11,Zak Cummings,Dominique Steele,UFC_on_Fox_Dillashaw_vs_Barão_2
