,winner,loser,weight_class,event
0,Valentina Shevchenko,Holly Holm,Women\'s Bantamweight,UFC_on_Fox_Holm_vs_Shevchenko
1,Edson Barboza,Gilbert Melendez,Lightweight,UFC_on_Fox_Holm_vs_Shevchenko
2,Francis Ngannou,Bojan Mihajlovi\xc4\x87,Heavyweight,UFC_on_Fox_Holm_vs_Shevchenko
3,Felice Herrig,Kailin Curran,Women\'s Strawweight,UFC_on_Fox_Holm_vs_Shevchenko
4,Eddie Wineland,Frankie Saenz,Bantamweight,UFC_on_Fox_Holm_vs_Shevchenko
5,Darren Elkins,Godofredo Pepey,Featherweight,UFC_on_Fox_Holm_vs_Shevchenko
6,Kamaru Usman,Alexander Yakovlev,Welterweight,UFC_on_Fox_Holm_vs_Shevchenko
7,Michel Prazeres,J.C. Cottrell,Lightweight,UFC_on_Fox_Holm_vs_Shevchenko
8,Alex Oliveira,James Moontasri,Welterweight,UFC_on_Fox_Holm_vs_Shevchenko
9,Jason Knight,Jim Alers,Featherweight,UFC_on_Fox_Holm_vs_Shevchenko
10,Luis Henrique,Dmitry Smolyakov,Heavyweight,UFC_on_Fox_Holm_vs_Shevchenko
