,winner,loser,weight_class,event
0,Ronaldo Souza,Derek Brunson,Middleweight,UFC_on_Fox_Jacaré_vs_Brunson_2
1,Andre Fili,Dennis Bermudez,Featherweight,UFC_on_Fox_Jacaré_vs_Brunson_2
2,Gregor Gillespie,Jordan Rinaldi,Lightweight,UFC_on_Fox_Jacaré_vs_Brunson_2
3,Drew Dober,Frank Camacho,Welterweight,UFC_on_Fox_Jacaré_vs_Brunson_2
4,Bobby Green,Erik Koch,Lightweight,UFC_on_Fox_Jacaré_vs_Brunson_2
5,Mirsad Bekti\xc4\x87,Godofredo Pepey,Featherweight,UFC_on_Fox_Jacaré_vs_Brunson_2
6,Katlyn Chookagian,Mara Romero Borella,Women\'s Flyweight,UFC_on_Fox_Jacaré_vs_Brunson_2
7,Randa Markos,Juliana Lima,Women\'s Strawweight,UFC_on_Fox_Jacaré_vs_Brunson_2
8,Ji Yeon Kim,Justine Kish,Women\'s Flyweight,UFC_on_Fox_Jacaré_vs_Brunson_2
9,Vinc Pichel,Joaquim Silva,Lightweight,UFC_on_Fox_Jacaré_vs_Brunson_2
10,Niko Price,George Sullivan,Welterweight,UFC_on_Fox_Jacaré_vs_Brunson_2
11,Cory Sandhagen,Austin Arnett,Featherweight,UFC_on_Fox_Jacaré_vs_Brunson_2
