,winner,loser,weight_class,event
0,Demetrious Johnson (c),Joseph Benavidez,Flyweight,UFC_on_Fox_Johnson_vs_Benavidez_2
1,Urijah Faber,Michael McDonald,Bantamweight,UFC_on_Fox_Johnson_vs_Benavidez_2
2,Chad Mendes,Nik Lentz,Featherweight,UFC_on_Fox_Johnson_vs_Benavidez_2
3,Joe Lauzon,Mac Danzig,Lightweight,UFC_on_Fox_Johnson_vs_Benavidez_2
4,Ryan LaFlare,Court McGee,Welterweight,UFC_on_Fox_Johnson_vs_Benavidez_2
5,Edson Barboza,Danny Castillo,Lightweight,UFC_on_Fox_Johnson_vs_Benavidez_2
6,Bobby Green,Pat Healy,Lightweight,UFC_on_Fox_Johnson_vs_Benavidez_2
7,Zach Makovsky,Scott Jorgensen,Flyweight,UFC_on_Fox_Johnson_vs_Benavidez_2
8,Sam Stout,Cody McKenzie,Lightweight,UFC_on_Fox_Johnson_vs_Benavidez_2
9,Abel Trujillo,Roger Bowling,Lightweight,UFC_on_Fox_Johnson_vs_Benavidez_2
10,Alptekin \xc3\x96zk\xc4\xb1l\xc4\xb1\xc3\xa7,Darren Uyenoyama,Flyweight,UFC_on_Fox_Johnson_vs_Benavidez_2
