,winner,loser,event
0,Demetrious Johnson (c),John Dodson,UFC_on_Fox_Johnson_vs_Dodson
1,Glover Teixeira,Quinton Jackson,UFC_on_Fox_Johnson_vs_Dodson
2,Anthony Pettis,Donald Cerrone,UFC_on_Fox_Johnson_vs_Dodson
3,Ricardo Lamas,Erik Koch,UFC_on_Fox_Johnson_vs_Dodson
4,TJ Grant,Matt Wiman,UFC_on_Fox_Johnson_vs_Dodson
5,Clay Guida,Hatsu Hioki,UFC_on_Fox_Johnson_vs_Dodson
6,Pascal Krauss,Mike Stumpf,UFC_on_Fox_Johnson_vs_Dodson
7,Ryan Bader,Vladimir Matyushenko,UFC_on_Fox_Johnson_vs_Dodson
8,Shawn Jordan,Mike Russow,UFC_on_Fox_Johnson_vs_Dodson
9,Rafael Natal,Sean Spencer,UFC_on_Fox_Johnson_vs_Dodson
10,David Mitchell,Simeon Thoresen,UFC_on_Fox_Johnson_vs_Dodson
