,winner,loser,weight_class,event
0,Demetrious Johnson (c),Wilson Reis,Flyweight,UFC_on_Fox_Johnson_vs_Reis
1,Rose Namajunas,Michelle Waterson,Women\'s Strawweight,UFC_on_Fox_Johnson_vs_Reis
2,Robert Whittaker,Ronaldo Souza,Middleweight,UFC_on_Fox_Johnson_vs_Reis
3,Renato Moicano,Jeremy Stephens,Featherweight,UFC_on_Fox_Johnson_vs_Reis
4,Alexander Volkov,Roy Nelson,Heavyweight,UFC_on_Fox_Johnson_vs_Reis
5,Tom Duquesnoy,Patrick Williams,Bantamweight,UFC_on_Fox_Johnson_vs_Reis
6,Rashid Magomedov,Bobby Green,Lightweight,UFC_on_Fox_Johnson_vs_Reis
7,Tim Elliott,Louis Smolka,Flyweight,UFC_on_Fox_Johnson_vs_Reis
8,Aljamain Sterling,Augusto Mendes,Bantamweight,UFC_on_Fox_Johnson_vs_Reis
9,Devin Clark,Jake Collier,Light Heavyweight,UFC_on_Fox_Johnson_vs_Reis
10,Anthony Smith,Andrew Sanchez,Middleweight,UFC_on_Fox_Johnson_vs_Reis
11,Zak Cummings,Nathan Coy,Welterweight,UFC_on_Fox_Johnson_vs_Reis
12,Ketlen Vieira,Ashlee Evans-Smith,Women\'s Bantamweight,UFC_on_Fox_Johnson_vs_Reis
