,winner,loser,weight_class,event
0,Rafael dos Anjos,Robbie Lawler,Welterweight,UFC_on_Fox_Lawler_vs_dos_Anjos
1,Josh Emmett,Ricardo Lamas,Catchweight (148.5 lbs),UFC_on_Fox_Lawler_vs_dos_Anjos
2,Santiago Ponzinibbio,Mike Perry,Welterweight,UFC_on_Fox_Lawler_vs_dos_Anjos
3,Glover Teixeira,Misha Cirkunov,Light Heavyweight,UFC_on_Fox_Lawler_vs_dos_Anjos
4,Jan B\xc5\x82achowicz,Jared Cannonier,Light Heavyweight,UFC_on_Fox_Lawler_vs_dos_Anjos
5,Julian Marquez,Darren Stewart,Middleweight,UFC_on_Fox_Lawler_vs_dos_Anjos
6,Chad Laprise,Galore Bofando,Welterweight,UFC_on_Fox_Lawler_vs_dos_Anjos
7,Nordine Taleb,Danny Roberts,Welterweight,UFC_on_Fox_Lawler_vs_dos_Anjos
8,John Makdessi,Abel Trujillo,Lightweight,UFC_on_Fox_Lawler_vs_dos_Anjos
9,Alessio Di Chirico,Oluwale Bamgbose,Middleweight,UFC_on_Fox_Lawler_vs_dos_Anjos
10,Jordan Mein,Erick Silva,Welterweight,UFC_on_Fox_Lawler_vs_dos_Anjos
