,winner,loser,weight_class,event
0,Luke Rockhold,Lyoto Machida,Middleweight,UFC_on_Fox_Machida_vs_Rockhold
1,Ronaldo Souza,Chris Camozzi,Middleweight,UFC_on_Fox_Machida_vs_Rockhold
2,Max Holloway,Cub Swanson,Featherweight,UFC_on_Fox_Machida_vs_Rockhold
3,Paige VanZant,Felice Herrig,Women\'s Strawweight,UFC_on_Fox_Machida_vs_Rockhold
4,Beneil Dariush,Jim Miller,Lightweight,UFC_on_Fox_Machida_vs_Rockhold
5,Ovince Saint Preux,Patrick Cummins,Light Heavyweight,UFC_on_Fox_Machida_vs_Rockhold
6,Gian Villante,Corey Anderson,Light Heavyweight,UFC_on_Fox_Machida_vs_Rockhold
7,Aljamain Sterling,Takeya Mizugaki,Bantamweight,UFC_on_Fox_Machida_vs_Rockhold
8,Tim Means,George Sullivan,Welterweight,UFC_on_Fox_Machida_vs_Rockhold
9,Diego Brand\xc3\xa3o,Jimy Hettes,Featherweight,UFC_on_Fox_Machida_vs_Rockhold
10,Chris Dempsey,Eddie Gordon,Middleweight,UFC_on_Fox_Machida_vs_Rockhold
