,winner,loser,event
0,Demian Maia,Carlos Condit,UFC_on_Fox_Maia_vs_Condit
1,Anthony Pettis,Charles Oliveira,UFC_on_Fox_Maia_vs_Condit
2,Paige VanZant,Bec Rawlings,UFC_on_Fox_Maia_vs_Condit
3,Jim Miller,Joe Lauzon,UFC_on_Fox_Maia_vs_Condit
4,Sam Alvey,Kevin Casey,UFC_on_Fox_Maia_vs_Condit
5,Kyle Bochniak,Enrique Barzola,UFC_on_Fox_Maia_vs_Condit
6,Alessio Di Chirico,Garreth McLellan,UFC_on_Fox_Maia_vs_Condit
7,Felipe Silva,Shane Campbell,UFC_on_Fox_Maia_vs_Condit
8,Chad Laprise,Thibault Gouti,UFC_on_Fox_Maia_vs_Condit
9,Jeremy Kennedy,Alessandro Ricci,UFC_on_Fox_Maia_vs_Condit
