,winner,loser,event
0,Dustin Poirier,Justin Gaethje,UFC_on_Fox_Poirier_vs_Gaethje
1,Alex Oliveira,Carlos Condit,UFC_on_Fox_Poirier_vs_Gaethje
2,Israel Adesanya,Marvin Vettori,UFC_on_Fox_Poirier_vs_Gaethje
3,Michelle Waterson,Cortney Casey,UFC_on_Fox_Poirier_vs_Gaethje
4,Ant\xc3\xb4nio Carlos J\xc3\xbanior,Tim Boetsch,UFC_on_Fox_Poirier_vs_Gaethje
5,Muslim Salikhov,Ricky Rainey,UFC_on_Fox_Poirier_vs_Gaethje
6,John Moraga,Wilson Reis,UFC_on_Fox_Poirier_vs_Gaethje
7,Brad Tavares,Krzysztof Jotko,UFC_on_Fox_Poirier_vs_Gaethje
8,Gilbert Burns,Dan Moret,UFC_on_Fox_Poirier_vs_Gaethje
9,Lauren Mueller,Shana Dobson,UFC_on_Fox_Poirier_vs_Gaethje
10,Yushin Okami,Dhiego Lima,UFC_on_Fox_Poirier_vs_Gaethje
11,Adam Wieczorek,Arjan Bhullar,UFC_on_Fox_Poirier_vs_Gaethje
12,Alejandro P\xc3\xa9rez,Matthew Lopez,UFC_on_Fox_Poirier_vs_Gaethje
13,Luke Sanders,Patrick Williams,UFC_on_Fox_Poirier_vs_Gaethje
