,winner,loser,event
0,Valentina Shevchenko,Julianna Pe\xc3\xb1a,UFC_on_Fox_Shevchenko_vs_Peña
1,Jorge Masvidal,Donald Cerrone,UFC_on_Fox_Shevchenko_vs_Peña
2,Francis Ngannou,Andrei Arlovski,UFC_on_Fox_Shevchenko_vs_Peña
3,Jason Knight,Alex Caceres,UFC_on_Fox_Shevchenko_vs_Peña
4,Sam Alvey,Nate Marquardt,UFC_on_Fox_Shevchenko_vs_Peña
5,Raphael Assun\xc3\xa7\xc3\xa3o,Aljamain Sterling,UFC_on_Fox_Shevchenko_vs_Peña
6,Li Jingliang,Bobby Nash,UFC_on_Fox_Shevchenko_vs_Peña
7,Jordan Johnson,Henrique da Silva,UFC_on_Fox_Shevchenko_vs_Peña
8,Eric Spicely,Alessio Di Chirico,UFC_on_Fox_Shevchenko_vs_Peña
9,Marcos Rog\xc3\xa9rio de Lima,Jeremy Kimball,UFC_on_Fox_Shevchenko_vs_Peña
10,Alexandre Pantoja,Eric Shelton,UFC_on_Fox_Shevchenko_vs_Peña
11,Jason Gonzalez,J.C. Cottrell,UFC_on_Fox_Shevchenko_vs_Peña
