,winner,loser,event
0,Chris Weidman,Kelvin Gastelum,UFC_on_Fox_Weidman_vs_Gastelum
1,Darren Elkins,Dennis Bermudez,UFC_on_Fox_Weidman_vs_Gastelum
2,Patrick Cummins,Gian Villante,UFC_on_Fox_Weidman_vs_Gastelum
3,Jimmie Rivera,Thomas Almeida,UFC_on_Fox_Weidman_vs_Gastelum
4,Elizeu Zaleski dos Santos,Lyman Good,UFC_on_Fox_Weidman_vs_Gastelum
5,Eryk Anders,Rafael Natal,UFC_on_Fox_Weidman_vs_Gastelum
6,Alex Oliveira,Ryan LaFlare,UFC_on_Fox_Weidman_vs_Gastelum
7,Chase Sherman,Damian Grabowski,UFC_on_Fox_Weidman_vs_Gastelum
8,Jeremy Kennedy,Kyle Bochniak,UFC_on_Fox_Weidman_vs_Gastelum
9,Marlon Vera,Brian Kelleher,UFC_on_Fox_Weidman_vs_Gastelum
10,J\xc3\xbanior Albini,Timothy Johnson,UFC_on_Fox_Weidman_vs_Gastelum
11,Shane Burgos,Godofredo Pepey,UFC_on_Fox_Weidman_vs_Gastelum
12,Chris Wade,Frankie Perez,UFC_on_Fox_Weidman_vs_Gastelum
