,winner,loser,event
0,Fabr\xc3\xadcio Werdum,Travis Browne,UFC_on_Fox_Werdum_vs_Browne
1,Miesha Tate,Liz Carmouche,UFC_on_Fox_Werdum_vs_Browne
2,Donald Cerrone,Edson Barboza,UFC_on_Fox_Werdum_vs_Browne
3,Yoel Romero,Brad Tavares,UFC_on_Fox_Werdum_vs_Browne
4,Khabib Nurmagomedov,Rafael dos Anjos,UFC_on_Fox_Werdum_vs_Browne
5,Thiago Alves,Seth Baczynski,UFC_on_Fox_Werdum_vs_Browne
6,Jorge Masvidal,Pat Healy,UFC_on_Fox_Werdum_vs_Browne
7,Alex White,Estevan Payan,UFC_on_Fox_Werdum_vs_Browne
8,Caio Magalh\xc3\xa3es,Luke Zachrich,UFC_on_Fox_Werdum_vs_Browne
9,Jordan Mein,Hernani Perp\xc3\xa9tuo,UFC_on_Fox_Werdum_vs_Browne
10,Dustin Ortiz,Ray Borg,UFC_on_Fox_Werdum_vs_Browne
11,Mirsad Bekti\xc4\x87,Chas Skelly,UFC_on_Fox_Werdum_vs_Browne
12,Derrick Lewis,Jack May,UFC_on_Fox_Werdum_vs_Browne
