,winner,loser,event
0,Rafael dos Anjos (c),Donald Cerrone,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
1,Alistair Overeem,Junior dos Santos,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
2,Nate Diaz,Michael Johnson,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
3,Karolina Kowalkiewicz,Randa Markos,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
4,Charles Oliveira,Myles Jury,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
5,Nate Marquardt,C.B. Dollaway,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
6,Valentina Shevchenko,Sarah Kaufman,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
7,Tamdan McCrory,Josh Samman,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
8,Nik Lentz,Danny Castillo,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
9,Cole Miller,Jim Alers,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
10,Kamaru Usman,Leon Edwards,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
11,Vicente Luque,Hayder Hassan,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
12,Francis Ngannou,Luis Henrique,UFC_on_Fox_dos_Anjos_vs_Cowboy_2
