,winner,loser,event
0,Junior dos Santos,Stipe Miocic,UFC_on_Fox_dos_Santos_vs_Miocic
1,Rafael dos Anjos,Nate Diaz,UFC_on_Fox_dos_Santos_vs_Miocic
2,Alistair Overeem,Stefan Struve,UFC_on_Fox_dos_Santos_vs_Miocic
3,Matt Mitrione,Gabriel Gonzaga,UFC_on_Fox_dos_Santos_vs_Miocic
4,Joanna J\xc4\x99drzejczyk,Cl\xc3\xa1udia Gadelha,UFC_on_Fox_dos_Santos_vs_Miocic
5,John Moraga,Willie Gates,UFC_on_Fox_dos_Santos_vs_Miocic
6,Ben Saunders,Joe Riggs,UFC_on_Fox_dos_Santos_vs_Miocic
7,Drew Dober,Jamie Varner,UFC_on_Fox_dos_Santos_vs_Miocic
8,Bryan Barberena,Joe Ellenberger,UFC_on_Fox_dos_Santos_vs_Miocic
9,David Michaud,Garett Whiteley,UFC_on_Fox_dos_Santos_vs_Miocic
10,Henry Cejudo,Dustin Kimura,UFC_on_Fox_dos_Santos_vs_Miocic
11,Ian Entwistle,Anthony Birchak,UFC_on_Fox_dos_Santos_vs_Miocic
