,winner,loser,weight_class,event
0,Renan Bar\xc3\xa3o (ic),Michael McDonald,Bantamweight,UFC_on_Fuel_TV_Barão_vs_McDonald
1,Cub Swanson,Dustin Poirier,Featherweight,UFC_on_Fuel_TV_Barão_vs_McDonald
2,Jimi Manuwa,Cyrille Diabat\xc3\xa9,Light Heavyweight,UFC_on_Fuel_TV_Barão_vs_McDonald
3,Gunnar Nelson,Jorge Santiago,Welterweight,UFC_on_Fuel_TV_Barão_vs_McDonald
4,James Te Huna,Ryan Jimmo,Light Heavyweight,UFC_on_Fuel_TV_Barão_vs_McDonald
5,Matthew Riddle,Che Mills,Welterweight,UFC_on_Fuel_TV_Barão_vs_McDonald
6,Ren\xc3\xa9e Forte,Terry Etim,Lightweight,UFC_on_Fuel_TV_Barão_vs_McDonald
7,Danny Castillo,Paul Sass,Lightweight,UFC_on_Fuel_TV_Barão_vs_McDonald
8,Andy Ogle,Josh Grispi,Featherweight,UFC_on_Fuel_TV_Barão_vs_McDonald
9,Tom Watson,Stanislav Nedkov,Middleweight,UFC_on_Fuel_TV_Barão_vs_McDonald
10,Vaughan Lee,Motonobu Tezuka,Bantamweight,UFC_on_Fuel_TV_Barão_vs_McDonald
11,Phil Harris,Ulysses Gomez,Flyweight,UFC_on_Fuel_TV_Barão_vs_McDonald
