,winner,loser,event
0,Alexander Gustafsson,Thiago Silva,UFC_on_Fuel_TV_Gustafsson_vs_Silva
1,Brian Stann,Alessio Sakara,UFC_on_Fuel_TV_Gustafsson_vs_Silva
2,Siyar Bahadurzada,Paulo Thiago,UFC_on_Fuel_TV_Gustafsson_vs_Silva
3,Dennis Siver,Diego Nunes,UFC_on_Fuel_TV_Gustafsson_vs_Silva
4,John Maguire,DaMarques Johnson,UFC_on_Fuel_TV_Gustafsson_vs_Silva
5,Brad Pickett,Damacio Page,UFC_on_Fuel_TV_Gustafsson_vs_Silva
6,James Head,Papy Abedi,UFC_on_Fuel_TV_Gustafsson_vs_Silva
7,Cyrille Diabate,Tom DeBlass,UFC_on_Fuel_TV_Gustafsson_vs_Silva
8,Francis Carmont,Magnus Cedenblad,UFC_on_Fuel_TV_Gustafsson_vs_Silva
9,Reza Madadi,Yoislandy Izquierdo,UFC_on_Fuel_TV_Gustafsson_vs_Silva
10,Simeon Thoresen,Besam Yousef,UFC_on_Fuel_TV_Gustafsson_vs_Silva
11,Jason Young,Eric Wisely,UFC_on_Fuel_TV_Gustafsson_vs_Silva
