,winner,loser,event
0,Chris Weidman,Mark Mu\xc3\xb1oz,UFC_on_Fuel_TV_Muñoz_vs_Weidman
1,James Te Huna,Joey Beltran,UFC_on_Fuel_TV_Muñoz_vs_Weidman
2,Aaron Simpson,Kenny Robertson,UFC_on_Fuel_TV_Muñoz_vs_Weidman
3,Francis Carmont,Karlos Vemola,UFC_on_Fuel_TV_Muñoz_vs_Weidman
4,T.J. Dillashaw,Vaughan Lee,UFC_on_Fuel_TV_Muñoz_vs_Weidman
5,Rafael dos Anjos,Anthony Njokuani,UFC_on_Fuel_TV_Muñoz_vs_Weidman
6,Alex Caceres,Damacio Page,UFC_on_Fuel_TV_Muñoz_vs_Weidman
7,Chris Cariaso,Josh Ferguson,UFC_on_Fuel_TV_Muñoz_vs_Weidman
8,Andrew Craig,Rafael Natal,UFC_on_Fuel_TV_Muñoz_vs_Weidman
9,Marcelo Guimar\xc3\xa3es,Dan Stittgen,UFC_on_Fuel_TV_Muñoz_vs_Weidman
10,Raphael Assun\xc3\xa7\xc3\xa3o,Issei Tamura,UFC_on_Fuel_TV_Muñoz_vs_Weidman
