,winner,loser,weight_class,event
0,Jos\xc3\xa9 Aldo (c),Chad Mendes,Featherweight,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
1,Welterweight,def.,[a],UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
2,[b],Benson Henderson,UFC 143,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
3,UFC 144,Light Heavyweight,5:00,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
4,5:00,[d],5,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
5,2,UFC 146,TKO (punches),UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
6,TKO (knee and punches),1:55,Chael Sonnen,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
7,Urijah Faber,5,def.,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
8,def.,"Decision (split) (48\xe2\x80\x9347, 48\xe2\x80\x9347, 46\xe2\x80\x9349)",Benson Henderson (c),UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
9,Demetrious Johnson,Joseph Benavidez,Flyweight,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
10,Light Heavyweight,def.,[i],UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
11,[j],Georges St-Pierre (c),UFC 152,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
12,UFC 154,Lightweight,5:00,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
13,5:00,[l],5,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
14,5,UFC 155,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9343, 50\xe2\x80\x9344)",UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
15,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9345, 50\xe2\x80\x9345)",5:00,Phil Davis,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
16,"Decision (unanimous) (30\xe2\x80\x9327, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Michael Bisping,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
17,"Decision (unanimous) (29\xe2\x80\x9328, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Demian Maia,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
18,TKO (doctor stoppage),5:00,Nik Lentz,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
19,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 30\xe2\x80\x9327)",5:00,John-Olav Einemo,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
