,winner,loser,weight_class,event
0,Jonathan Goulet,Luke Cummo,Welterweight,UFC_Ultimate_Fight_Night_5
1,Anderson Silva,Chris Leben,Middleweight,UFC_Ultimate_Fight_Night_5
2,Rob MacDonald,Kristian Rothaermel,Light Heavyweight,UFC_Ultimate_Fight_Night_5
3,Rashad Evans,Stephan Bonnar,Light Heavyweight,UFC_Ultimate_Fight_Night_5
4,Mark Hominick,Jorge Gurgel,Lightweight,UFC_Ultimate_Fight_Night_5
5,Josh Koscheck,Dave Menne,Welterweight,UFC_Ultimate_Fight_Night_5
6,Jason Lambert,Branden Lee Hinkle,Light Heavyweight,UFC_Ultimate_Fight_Night_5
7,Jon Fitch,Thiago Alves,Welterweight,UFC_Ultimate_Fight_Night_5
8,Jorge Santiago,Justin Levens,Middleweight,UFC_Ultimate_Fight_Night_5
0,Stephan Bonnar,Keith Jardine,Light Heavyweight,UFC_Ultimate_Fight_Night_4
1,Rashad Evans,Sam Hoger,Light Heavyweight,UFC_Ultimate_Fight_Night_4
2,Josh Neer,Joe Stevenson,Welterweight,UFC_Ultimate_Fight_Night_4
3,Chris Leben,Luigi Fioravanti,Middleweight,UFC_Ultimate_Fight_Night_4
4,Luke Cummo,Jason Von Flue,Welterweight,UFC_Ultimate_Fight_Night_4
5,Jon Fitch,Josh Burkman,Welterweight,UFC_Ultimate_Fight_Night_4
6,Dan Christison,Brad Imes,Heavyweight,UFC_Ultimate_Fight_Night_4
7,Josh Koscheck,Ansar Chalangov,Welterweight,UFC_Ultimate_Fight_Night_4
8,Chael Sonnen,Trevor Prangley,Middleweight,UFC_Ultimate_Fight_Night_4
0,Tim Sylvia,Assuerio Silva,Heavyweight,UFC_Ultimate_Fight_Night_3
1,Stephan Bonnar,James Irvin,Light Heavyweight,UFC_Ultimate_Fight_Night_3
2,Josh Burkman,Drew Fickett,Welterweight,UFC_Ultimate_Fight_Night_3
3,Chris Leben,Jorge Rivera,Middleweight,UFC_Ultimate_Fight_Night_3
4,Josh Neer,Melvin Guillard,Welterweight,UFC_Ultimate_Fight_Night_3
5,Duane Ludwig,Jonathan Goulet,Welterweight,UFC_Ultimate_Fight_Night_3
6,Spencer Fisher,Aaron Riley,Welterweight,UFC_Ultimate_Fight_Night_3
7,Jason Von Flue,Alex Karalexis,Welterweight,UFC_Ultimate_Fight_Night_3
0,David Loiseau,Evan Tanner,Middleweight,UFC_Ultimate_Fight_Night_2
1,Chris Leben,Edwin Dewees,Middleweight,UFC_Ultimate_Fight_Night_2
2,Brandon Vera,Fabiano Scherner,Heavyweight,UFC_Ultimate_Fight_Night_2
3,Drew Fickett,Josh Koscheck,Welterweight,UFC_Ultimate_Fight_Night_2
4,Spencer Fisher,Thiago Alves,Welterweight,UFC_Ultimate_Fight_Night_2
5,Jon Fitch,Brock Larson,Middleweight,UFC_Ultimate_Fight_Night_2
6,Jonathan Goulet,Jay Hieron,Welterweight,UFC_Ultimate_Fight_Night_2
0,Gray Maynard,Clay Guida,Lightweight,UFC_on_FX_Maynard_vs_Guida
1,Sam Stout,Spencer Fisher,Lightweight,UFC_on_FX_Maynard_vs_Guida
2,Brian Ebersole,TJ Waldburger,Welterweight,UFC_on_FX_Maynard_vs_Guida
3,Cub Swanson,Ross Pearson,Featherweight,UFC_on_FX_Maynard_vs_Guida
4,Ricardo Lamas,Hatsu Hioki,Featherweight,UFC_on_FX_Maynard_vs_Guida
5,Ramsey Nijem,C.J. Keith,Lightweight,UFC_on_FX_Maynard_vs_Guida
6,Rick Story,Brock Jardine,Welterweight,UFC_on_FX_Maynard_vs_Guida
7,Steven Siler,Joey Gambino,Featherweight,UFC_on_FX_Maynard_vs_Guida
8,Chris Camozzi,Nick Catone,Middleweight,UFC_on_FX_Maynard_vs_Guida
9,Matt Brown,Luis Ramos,Welterweight,UFC_on_FX_Maynard_vs_Guida
10,Dan Miller,Ricardo Funch,Welterweight,UFC_on_FX_Maynard_vs_Guida
11,Ken Stone,Dustin Pague,Bantamweight,UFC_on_FX_Maynard_vs_Guida
0,Jos\xc3\xa9 Aldo (c),Chad Mendes,Featherweight,UFC_on_FX_Johnson_vs_McCall
1,Welterweight,def.,[a],UFC_on_FX_Johnson_vs_McCall
2,[b],Benson Henderson,UFC 143,UFC_on_FX_Johnson_vs_McCall
3,UFC 144,Light Heavyweight,5:00,UFC_on_FX_Johnson_vs_McCall
4,5:00,[d],5,UFC_on_FX_Johnson_vs_McCall
5,2,UFC 146,TKO (punches),UFC_on_FX_Johnson_vs_McCall
6,TKO (knee and punches),1:55,Chael Sonnen,UFC_on_FX_Johnson_vs_McCall
7,Urijah Faber,5,def.,UFC_on_FX_Johnson_vs_McCall
8,def.,"Decision (split) (48\xe2\x80\x9347, 48\xe2\x80\x9347, 46\xe2\x80\x9349)",Benson Henderson (c),UFC_on_FX_Johnson_vs_McCall
9,Demetrious Johnson,Joseph Benavidez,Flyweight,UFC_on_FX_Johnson_vs_McCall
10,Light Heavyweight,def.,[i],UFC_on_FX_Johnson_vs_McCall
11,[j],Georges St-Pierre (c),UFC 152,UFC_on_FX_Johnson_vs_McCall
12,UFC 154,Lightweight,5:00,UFC_on_FX_Johnson_vs_McCall
13,5:00,[l],5,UFC_on_FX_Johnson_vs_McCall
14,5,UFC 155,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9343, 50\xe2\x80\x9344)",UFC_on_FX_Johnson_vs_McCall
15,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9345, 50\xe2\x80\x9345)",5:00,Phil Davis,UFC_on_FX_Johnson_vs_McCall
16,"Decision (unanimous) (30\xe2\x80\x9327, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Michael Bisping,UFC_on_FX_Johnson_vs_McCall
17,"Decision (unanimous) (29\xe2\x80\x9328, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Demian Maia,UFC_on_FX_Johnson_vs_McCall
18,TKO (doctor stoppage),5:00,Nik Lentz,UFC_on_FX_Johnson_vs_McCall
19,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 30\xe2\x80\x9327)",5:00,John-Olav Einemo,UFC_on_FX_Johnson_vs_McCall
20,TKO (punches),2:22,George Roop,UFC_on_FX_Johnson_vs_McCall
21,Submission (reverse calf slicer),1:43,Eric Wisely,UFC_on_FX_Johnson_vs_McCall
22,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Shane Roller,UFC_on_FX_Johnson_vs_McCall
23,KO (punches),4:24,Joey Beltran,UFC_on_FX_Johnson_vs_McCall
24,Submission (guillotine choke),1:08,Dustin Jacoby,UFC_on_FX_Johnson_vs_McCall
25,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Diego Sanchez,UFC_on_FX_Johnson_vs_McCall
26,TKO (punches),3:52,Dave Herman,UFC_on_FX_Johnson_vs_McCall
27,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Aaron Simpson,UFC_on_FX_Johnson_vs_McCall
28,KO (punches),0:43,Phil De Fries,UFC_on_FX_Johnson_vs_McCall
